# Creep data for steel T23 (from Mathematica notebook T23_1.nb)
# Source: UFM AV Brno, Prof. V. Sklenička
# sigma[MPa]  T[C]  tr[h]
75	650	3632.3
120	600	11456.8
100	650	1571.3
125	600	10263.4
125	600	12269.8
160	550	37652.1
125	625	1901.4
140	600	12547.9
175	550	12246.0
150	600	2898.8
150	600	2582.5
125	650	284.4
160	600	652.7
150	625	270.9
200	550	1309.5
200	550	1538.8
175	600	277.2
150	650	65.14
250	500	6500.6
225	550	289.8
200	600	63.3
275	500	2100.2
250	550	156.9
175	650	9.21
200	625	8.12
300	500	867.2
200	650	1.69
250	600	5.82
300	550	32.16
350	500	99.5
375	500	20.0
350	550	1.76
300	600	0.44
400	500	1.76
